username,handle,postDate,responding,retweets,likes
Paun,@Febsick_,2023-07-06T12:17:07.000Z,"Min @IndiHome @IndiHomeCare, kalo sore-subuh tuh jaringannya parah bgt, knp dah? Pdhl aku dom jkt minn 2100",,
IndiHome,@IndiHome,2023-07-06T11:53:10.000Z,"Semoga selalu membuka peluang kemajuan bagi masyarakat Indonesia. Selamat Ulang Tahun ke-58 Telkom Indonesia, pemberi kemudahan untuk mengakses dunia, jadikan dunia dalam genggaman.#IndiHomebyTelkomsel#BersatuLebihMudah ",3.0,5.0
Defri Bogar,@defbogar13,2023-07-06T11:37:08.000Z,Replying to @nugrophile @hllkirom and @IndiHome Tpi skrg sdah bisa bro ?,,
Defri Bogar,@defbogar13,2023-07-06T11:34:39.000Z,"Replying to @nugrophile @hllkirom and @IndiHome Ohhh,, hardreset",,
spirit zulu,@fnxxql,2023-07-06T11:18:54.000Z,Replying to @fnxxql halo @IndiHome,,
SPS,@Yasmin160118,2023-07-06T11:17:17.000Z,@IndiHome malem 128,,
Muresa,@MustiRetnoSari,2023-07-06T10:54:45.000Z,Min ini wifinya dari pagi sampai sekarang kenapa tidak ada jaringan ya pdhl bulan ini udah bayar @IndiHomeCare @IndiHome 166,,
Aris,@Aris_4s,2023-07-06T10:53:05.000Z,@IndiHome baca dm 127,,
bedil.,@FadhilIsham22,2023-07-06T10:47:56.000Z,Halo @IndiHomeCare @IndiHome internet saya kedap kedip nih kenapa ya? 278,,
Lana. kinda ia,@vanillatte29,2023-07-06T10:45:40.000Z,"Cek dm min, ada keluhan nih :) @IndiHomeCare @IndiHome 141",,
jade,@dapzle,2023-07-06T10:43:21.000Z,Aneh banget dah @indihome masa wifi aja ga nyampe ruang tamu padahal rumah gue kaga segede rumah sisca kohl. 21164,,1.0
gosman aramba,@ArambaGosman,2023-07-06T10:34:38.000Z,"Replying to @teho_n and @IndiHomeCare Kalau tidak selesai hari ini jaringannya yang rusak itu, datangi aja kantornya, Pak Bos, terus lemparkan modemnya ke kepala orang-orang #indihome itu. @IndiHome tobatlah kalian sebagai produk yang buruk. Emosi manusia itu ada batasnya apalagi menyangkut nafkah atau pekerjaan.",,1.0
gosman aramba,@ArambaGosman,2023-07-06T10:22:26.000Z,"Replying to @teho_n @IndiHomeCare and @IndiHome Dijamin tidak akan ditanggapi dan ditindak hari ini untuk perbaikan jaringannya. Mereka hanya pura-pura kerja aja membalas keluhan Pak Bos di Twitter. Nyatanya mereka lamban. Saya pernah ngalamin, Pak Bos, dulu.",,
AcneFighter,@Uwiwfort,2023-07-06T10:21:51.000Z,@IndiHome bisa turunin tagihan wifi gak sih? jujur berat banget yang ini :( 284,,
IndiHome,@IndiHome,2023-07-06T10:20:36.000Z,"Emang paling asik kalau lagi scrolling sosmed sambil rebahan di kamar. Nah, biar scrolling nya lancar tanpa hambatan di sudut rumah mana aja, pakai Ultra Wifi Cek informasinya di http://myih.ch/ultra-wifi.#IndiHomebyTelkomsel#BersatuLebihMudah ",1.0,1.0
gosman aramba,@ArambaGosman,2023-07-06T10:17:18.000Z,"Replying to @teho_n and @IndiHomeCare Kalau kedepannya masih ada gangguan seperti ini. Berarti pengaduan, Pak Bos, tidak berguna. Baik @kemkominfo maupun @IndiHomeCare @IndiHome sejatinya hanya sebatas omong kosong tidak berfungsi. Kalau sudah begitu sudah layak diganti ke @BiznetHome",,
Al Warsito_,@warsito_al,2023-07-06T10:16:32.000Z,"Endus Janggal Bocor Data @IndiHome, Telkom Harap Tak Diserang BjorkaIni mengada2 atau alasan biar bisa gabung ⁦@Telkomsel⁩ ?? cnnindonesia.comEndus Janggal Bocor Data IndiHome, Telkom Harap Tak Diserang BjorkaBerdasarkan hasil penelitian, Telkom mengaku melacak kejanggalan dari sampel 35 juta data yang dibocorkan ke publik oleh pihak yang mengaku Bjorka.",,
⋆𖥻 𝖼𝗓𝗁𝖾𝗎パー,@cherrylouvfr,2023-07-06T10:08:20.000Z,Replying to @noraachyy @IndiHomeCare and @IndiHome tolong bantu tag kak biar ga saya aja yang merasakan keresahan ini,,
